MsgID.GLOBAL_POSITION,1524780773.5689139,-122.3974487,37.7924797,-0.0600000
MsgID.LOCAL_VELOCITY,1524780773.5689139,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524780773.5694399,-0.0276395,0.1141503,0.0608201
MsgID.LOCAL_VELOCITY,1524780773.5694399,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524780773.5699420,-122.3974488,37.7924787,-0.0810000
MsgID.LOCAL_VELOCITY,1524780773.5699420,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524780773.5707111,-0.1337614,0.1032283,0.0810465
MsgID.LOCAL_VELOCITY,1524780773.5707111,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524780773.5712709,-122.3974500,37.7924803,-0.0960000
MsgID.LOCAL_VELOCITY,1524780773.5712709,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524780773.5716741,0.0558949,-0.0004626,0.0968862
MsgID.LOCAL_VELOCITY,1524780773.5716741,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1524780773.5723789,False,False
MsgID.GLOBAL_HOME,1524780773.5733321,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1524780773.5736341,-122.3974500,37.7924808,-0.1030000
MsgID.LOCAL_VELOCITY,1524780773.5736341,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524780773.5740149,0.0939741,-0.0003904,0.1033072
MsgID.LOCAL_VELOCITY,1524780773.5740149,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1524780773.6754260,-122.3974495,37.7924799,-0.0890000
MsgID.LOCAL_VELOCITY,1524780773.6754260,0.0000000,0.0000000,-0.2700000
MsgID.LOCAL_POSITION,1524780773.6781840,0.0032740,0.0366549,0.0856192
MsgID.LOCAL_VELOCITY,1524780773.6781840,-0.0000774,-0.0001163,-0.2994906
MsgID.GLOBAL_POSITION,1524780773.9249160,-122.3974508,37.7924813,0.0040000
MsgID.LOCAL_VELOCITY,1524780773.9249160,0.0000000,0.0000000,-0.1600000
MsgID.LOCAL_POSITION,1524780773.9291661,0.1481054,-0.0732238,-0.0048932
MsgID.LOCAL_VELOCITY,1524780773.9291661,-0.0003551,-0.0019566,-0.1650838
MsgID.GLOBAL_POSITION,1524780774.1760941,-122.3974509,37.7924802,0.0130000
MsgID.LOCAL_VELOCITY,1524780774.1760941,-0.0100000,0.0000000,0.2500000
MsgID.LOCAL_POSITION,1524780774.1784251,0.0253989,-0.0816946,-0.0130871
MsgID.LOCAL_VELOCITY,1524780774.1784251,-0.0106890,0.0049184,0.2547961
MsgID.STATE,1524780774.4003530,True,True
MsgID.GLOBAL_HOME,1524780807.0841951,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1524780807.0843830,-122.3974497,37.7924802,-0.0150000
MsgID.LOCAL_VELOCITY,1524780807.0843830,-0.0100000,0.0000000,0.2000000
MsgID.LOCAL_POSITION,1524780807.0845671,-0.0198232,0.3173017,0.0154712
MsgID.LOCAL_VELOCITY,1524780807.0845671,-0.0127570,0.0092370,0.2029947
MsgID.GLOBAL_POSITION,1524780807.0847330,-122.3974496,37.7924800,0.0020000
MsgID.LOCAL_VELOCITY,1524780807.0847330,0.0000000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,1524780807.0849221,-0.0433572,0.3292307,-0.0037514
MsgID.LOCAL_VELOCITY,1524780807.0849221,0.0000110,0.0008204,0.0548188
MsgID.GLOBAL_POSITION,1524780807.0850902,-122.3974504,37.7924808,0.0350000
MsgID.LOCAL_VELOCITY,1524780807.0850902,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524780807.0852580,0.0464740,0.2562666,-0.0356962
MsgID.LOCAL_VELOCITY,1524780807.0852580,-0.0000099,0.0000083,0.0000020
MsgID.GLOBAL_POSITION,1524780807.0854242,-122.3974517,37.7924809,0.0680000
MsgID.LOCAL_VELOCITY,1524780807.0854242,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1524780807.0855901,0.0537742,0.1357357,-0.0694052
MsgID.LOCAL_VELOCITY,1524780807.0855901,-0.0000016,-0.0000199,0.0000080
MsgID.STATE,1524780807.0860219,True,True
MsgID.GLOBAL_HOME,1524780807.0865750,-122.3974533,37.7924804,0.0000000
